Node Number	Shear Stress (MPa)
1291	0.9065
1292	0.84343
1293	0.65101
1294	0.40372
1295	6.8746e-002
1296	0.58443
1297	0.83094
1298	1.0227
1299	1.0853
1300	1.1062
1301	0.96063
1302	0.67755
1303	0.31087
1304	-5.3291e-002
1305	-7.0704e-002
1306	-0.10703
1307	-4.5236e-002
1308	0.48684
1309	0.77701
1310	0.91553
1311	1.0296
1312	1.0349
1313	0.9035
1314	0.66321
1315	0.28271
1316	4.3392e-002
1317	0.76691
1318	0.98223
1319	1.1466
1320	1.1647
1321	1.0788
1322	0.87919
1323	0.53438
1324	0.20879
1325	0.65073
1326	0.67145
1327	0.77522
1328	0.99417
1329	1.1381
1330	1.1981
1331	1.1674
1332	0.97237
1333	0.66564
1334	1.024
1335	1.1502
1336	1.289
1337	1.2815
1338	1.122
1339	0.85212
1340	0.46936
1341	0.11966
1342	0.1021
1343	4.7767e-002
1344	0.84203
1345	0.46536
1346	0.1904
1347	1.3037
1348	1.376
1349	1.3259
1350	1.0804
1351	0.72878
1352	0.31108
1353	0.15296
1354	0.8529
1355	0.94923
1356	1.2288
1357	1.35
1358	1.3697
1359	1.2447
1360	0.99635
1361	1.2329
1362	1.42
1363	1.4554
1364	1.3308
1365	1.0601
1366	0.6852
1367	0.28261
1368	1.0175
1369	1.3631
1370	1.2102
1371	0.86935
1372	0.51294
1373	1.3795
1374	1.4272
1375	1.2246
1376	0.45588
1377	1.138
1378	1.3848
1379	1.4881
1380	1.4662
1381	1.4074
1382	1.2055
1383	1.3026
1384	1.321
1385	0.93613
1386	0.62401
1387	0.37633
1388	1.0225
1389	1.6332
1390	2.0249
1391	1.8022
1392	1.2838
1393	0.56509
1394	0.30182
1395	0.94858
1396	1.3087
1397	1.5475
1398	1.3242
1399	0.87511
1400	0.84956
1401	0.13747
1402	0.29408
1403	0.33543
1404	0.45186
1405	0.43853
1406	0.29032
1407	-0.11449
1408	0.52601
1409	0.43847
1410	1.013
1411	1.7961
1412	2.6031
1413	2.7972
1414	2.4378
1415	1.572
1416	1.5196
1417	1.9769
1418	2.0499
1419	1.7087
1420	0.95216
1421	1.0674
1422	0.74431
1423	0.46092
1424	0.16541
1425	0.47069
1426	1.9216
1427	2.7462
1428	3.3591
1429	3.2398
1430	2.5352
1431	1.2574
1432	1.0715
1433	1.73
1434	2.2464
1435	2.7475
1436	2.6019
1437	1.8813
1438	1.0671
1439	0.81458
1440	0.92996
1441	1.4522
1442	1.4072
1443	0.71587
1444	0.63969
