Node Number	Normal Stress (MPa)
1379	-1.2504e-002
1380	-1.336e-003
1381	5.4325e-003
1382	-1.6679e-002
1383	-3.7751e-002
1384	-6.382e-003
1385	1.3203e-002
1386	3.2695e-002
1387	-0.11038
1388	-0.55474
1389	-0.82253
1390	-0.90536
1391	8.7291e-002
1392	2.7049
1393	8.7289
1394	3.5242e-002
1395	-0.28503
1396	-0.56417
1397	-0.42447
1398	0.42062
1399	2.0243
1400	4.4405
1401	-5.8255e-002
1402	-1.6556e-002
1403	4.0644e-002
1404	8.6759e-002
1405	1.1291e-002
1406	11.007
1407	14.576
1408	13.15
1409	12.83
1410	-0.27897
1411	-0.72382
1412	-0.9257
1413	-0.53571
1414	1.1613
1415	4.751
1416	-0.44468
1417	-0.51152
1418	-9.237e-002
1419	0.84454
1420	2.7472
1421	10.314
1422	3.6605e-002
1423	10.155
1424	9.1235
1425	6.137
1426	-0.43123
1427	-0.7144
1428	-0.86434
1429	-7.462e-002
1430	1.9817
1431	6.6847
1432	-8.976e-002
1433	-0.1564
1434	-0.24517
1435	-0.26547
1436	0.16535
1437	1.4665
1438	3.1759
1439	-0.10951
1440	8.616e-003
1441	1.8197e-002
1442	-5.917e-002
1443	8.1026
1444	7.4306
1445	5.1587
1446	4.6199
1447	-8.9984e-002
1448	5.9068
1449	-0.20352
1450	-0.53561
1451	-0.78836
1452	-0.69732
1453	0.58837
1454	2.9777
1455	-6.5638e-002
1456	-0.22113
1457	-5.2551e-002
1458	0.47802
1459	3.3307
1460	-0.16945
1461	-5.6165e-002
1462	-4.0461e-002
1463	4.8462
1464	5.1048
1465	-0.75214
1466	-0.27781
1467	1.4711
1468	3.6871
1469	-0.30742
1470	-0.58664
1471	-0.55587
1472	0.28755
1473	2.862
1474	-9.1621e-002
1475	-0.15777
1476	7.6642e-002
1477	0.73031
1478	1.5893
1479	-0.17528
1480	2.8334
1481	-0.51169
1482	-0.26675
1483	1.26
1484	-7.6878e-002
1485	0.27136
1486	-0.34013
1487	-0.32386
1488	0.27354
1489	-4.0326e-003
1490	0.71365
1491	-0.24117
