Node Number	Shear Stress (MPa)
1116	0.36936
1117	0.36336
1118	0.13466
1119	0.2374
1120	0.34887
1121	0.50383
1122	0.59975
1123	0.64444
1124	0.64018
1125	0.56367
1126	0.5078
1127	0.5202
1128	0.11969
1129	0.24695
1130	0.23288
1131	0.23114
1132	0.15292
1133	0.83842
1134	0.83399
1135	0.70178
1136	0.30623
1137	0.45165
1138	0.56154
1139	0.67186
1140	0.69781
1141	0.68015
1142	0.60446
1143	0.44316
1144	0.18678
1145	0.27351
1146	0.52605
1147	0.2442
1148	0.35848
1149	0.44928
1150	0.63912
1151	0.7901
1152	0.86273
1153	0.87158
1154	0.81516
1155	0.62139
1156	0.26386
1157	0.43053
1158	0.61345
1159	0.78288
1160	0.94167
1161	0.9948
1162	0.97282
1163	0.84661
1164	0.79086
1165	0.3006
1166	0.38294
1167	0.95761
1168	0.90785
1169	0.80628
1170	0.58923
1171	0.80612
1172	0.95741
1173	1.0184
1174	0.98725
1175	0.87862
1176	0.72409
1177	0.38774
1178	0.55763
1179	0.74571
1180	0.90956
1181	1.0097
1182	1.0242
1183	0.91524
1184	0.86499
1185	0.36406
1186	0.38339
1187	0.38108
1188	0.54832
1189	0.77869
1190	0.99925
1191	1.1315
1192	1.1782
1193	1.1284
1194	0.56675
1195	0.69538
1196	0.9207
1197	1.0831
1198	1.1675
1199	1.1528
1200	1.0516
1201	0.98591
1202	0.47347
1203	1.059
1204	0.99168
1205	1.0996
1206	0.94869
1207	0.86524
1208	1.0565
1209	1.2185
1210	1.2392
1211	1.1638
1212	1.0507
1213	0.47692
1214	0.53173
1215	1.024
1216	0.78356
1217	0.99923
1218	1.1705
1219	1.2809
1220	1.295
1221	0.76254
1222	1.0232
1223	1.2033
1224	1.2965
1225	1.3167
1226	1.2447
1227	0.59009
1228	1.1329
1229	1.2705
1230	1.3374
1231	1.3054
1232	1.1873
1233	0.94737
1234	1.2954
1235	1.3448
1236	1.1927
1237	0.69375
1238	0.95204
1239	1.1256
1240	1.2799
1241	1.3379
1242	1.3936
1243	0.85241
1244	1.3824
1245	1.3678
1246	1.2792
1247	3.1282
1248	1.6241
1249	1.1838
1250	0.70249
1251	0.52911
1252	0.33209
1253	0.17479
1254	6.9592e-002
1255	2.9391e-003
1256	7.8148e-004
1257	8.0768e-002
1258	2.0348
1259	1.4912
1260	1.1233
1261	0.79965
1262	0.53555
1263	0.29184
1264	0.12069
1265	1.4842e-002
1266	-1.0031e-002
1267	9.7041e-002
1268	6.7029e-002
1269	8.1343e-002
1270	0.14222
1271	2.9569
1272	2.9183
1273	3.9198
1274	2.9528
1275	3.2621
1276	1.1284
1277	0.85652
1278	0.65069
1279	0.41878
1280	0.20723
1281	6.6955e-002
1282	-6.6223e-004
1283	2.4664e-002
1284	8.8952e-002
1285	2.9403
1286	2.9601
1287	2.7266
1288	1.9162
1289	1.408
1290	0.99834
1291	0.68895
1292	0.41724
1293	0.17885
1294	4.046e-002
1295	4.6702e-004
1296	2.4697
1297	1.7974
1298	1.4131
1299	1.0362
1300	0.68104
1301	0.35077
1302	8.9005e-002
1303	-4.9937e-002
1304	-8.7666e-003
1305	-5.2709e-003
1306	1.0099e-002
1307	2.9557e-002
1308	2.9042
1309	2.7312
1310	1.391
1311	0.9896
1312	0.6677
1313	0.3629
1314	0.14202
1315	1.9988e-002
1316	5.6329e-003
1317	2.158
1318	1.7433
1319	1.3468
1320	0.91883
1321	0.53826
1322	0.21794
1323	1.78e-002
1324	-3.2952e-002
1325	2.7342
1326	2.7511
1327	2.496
1328	2.0587
1329	1.4571
1330	0.99562
1331	0.63922
1332	0.31985
1333	0.10422
1334	2.2462
1335	1.8087
1336	1.3075
1337	0.86749
1338	0.45272
1339	0.16614
1340	-3.4702e-002
1341	-6.8075e-002
1342	-9.0297e-002
1343	-4.3578e-002
1344	2.6078
1345	1.0989e-002
1346	-1.493e-002
1347	1.6842
1348	1.1827
1349	0.74854
1350	0.30742
1351	3.1481e-002
1352	-5.5223e-002
1353	-2.5501e-002
1354	2.5903
1355	2.4255
1356	1.9438
1357	1.4626
1358	1.0744
1359	0.60111
1360	0.25184
1361	2.084
1362	1.5057
1363	1.0753
1364	0.60978
1365	0.23513
1366	-1.5846e-002
1367	-9.6726e-002
1368	2.4211
1369	0.84992
1370	0.47329
1371	0.14099
1372	-2.2018e-002
1373	1.7945
1374	0.86042
1375	0.41772
1376	-5.5739e-002
1377	2.236
1378	1.7589
1379	1.4188
1380	1.037
1381	0.74396
1382	0.37496
1383	1.9789
1384	0.55464
1385	0.10079
1386	-2.3385e-002
1387	-6.2433e-002
1388	-0.41844
1389	-1.0402
1390	-1.9545
1391	-2.5678
1392	-2.8682
1393	-3.5706
1394	-0.15169
1395	-0.37281
1396	-0.8659
1397	-1.4532
1398	-1.8568
1399	-1.8848
1400	-2.3499
1401	-2.9845e-002
1402	8.489e-002
1403	0.13636
1404	-9.2688e-002
1405	-0.12102
1406	-2.2524
1407	-3.8392
1408	-5.2632
1409	-5.1246
1410	-0.22932
1411	-0.87989
1412	-1.9711
1413	-3.1075
1414	-4.0695
1415	-4.4666
1416	-0.73949
1417	-1.4825
1418	-2.2942
1419	-2.7347
1420	-2.5053
1421	-4.0508
1422	2.3363e-002
1423	-4.2019
1424	-3.868
1425	-4.6279
1426	-0.66487
1427	-1.5426
1428	-2.8298
1429	-4.0856
1430	-5.059
1431	-4.7655
1432	-0.34685
1433	-0.70514
1434	-1.3112
1435	-2.2856
1436	-3.1784
1437	-3.4965
1438	-3.4812
1439	-0.15506
1440	1.2842e-002
1441	-0.33896
1442	-0.3609
1443	-4.7941
1444	-4.8796
1445	-4.0702
1446	-5.4286
1447	-0.18174
1448	-5.0677
1449	-0.44908
1450	-1.1756
1451	-2.1778
1452	-3.6955
1453	-4.9873
1454	-5.7338
1455	-1.0896
1456	-1.8866
1457	-3.0166
1458	-3.9827
1459	-4.6334
1460	-0.24171
1461	-0.66182
1462	-0.94455
1463	-5.6434
1464	-5.5023
1465	-2.8608
1466	-4.4539
1467	-5.6208
1468	-5.3205
1469	-0.95006
1470	-1.8677
1471	-3.5301
1472	-5.1111
1473	-5.8548
1474	-1.6456
1475	-2.5443
1476	-3.7806
1477	-4.6355
1478	-4.9392
1479	-1.3212
1480	-5.697
1481	-2.5842
1482	-4.3534
1483	-5.6169
1484	-3.3691
1485	-4.4489
1486	-1.6199
1487	-3.3152
1488	-4.9445
1489	-4.02
1490	-5.0734
1491	-2.3016
1492	-4.2718
1493	-4.5904
1494	-7.8321e-002
1495	-0.14253
1496	-0.14314
1497	-0.35606
1498	-0.27737
1499	-0.27943
1500	1.2716e-002
1501	0.18203
1502	0.48381
1503	0.64156
1504	0.51461
1505	0.15566
1506	-0.22795
1507	-0.45437
1508	-0.45558
1509	-0.26077
1510	-0.11887
1511	-1.6766e-002
1512	0.42785
1513	1.11
1514	1.6244
1515	1.4133
1516	0.44893
1517	-0.83193
1518	-1.8308
1519	-1.952
1520	-0.61062
1521	-0.23025
1522	-3.7516e-002
1523	-0.12
1524	-5.977e-002
